127.0.0.1, 2013-11-04 18:30:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000514
127.0.0.1, 2013-11-04 18:30:06, GET, /admin/default/site, HTTP/1.1, 200, 0.093942
127.0.0.1, 2013-11-04 18:30:13, GET, /admin/default/index, HTTP/1.1, 303, 0.014165
127.0.0.1, 2013-11-04 18:30:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000822
127.0.0.1, 2013-11-04 18:30:13, GET, /admin/default/site, HTTP/1.1, 200, 0.092793
127.0.0.1, 2013-11-04 18:30:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001072
127.0.0.1, 2013-11-04 18:30:15, GET, /server_manage/default/index, HTTP/1.1, 200, 0.087716
127.0.0.1, 2013-11-04 18:30:41, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.296249
127.0.0.1, 2013-11-04 18:30:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000606
127.0.0.1, 2013-11-04 18:30:44, GET, /server_manage/default/index, HTTP/1.1, 200, 0.091295
127.0.0.1, 2013-11-04 18:30:50, GET, /admin/default/edit/server_manage/views/default/index.html, HTTP/1.1, 200, 0.089515
127.0.0.1, 2013-11-04 18:30:51, GET, /admin/default/edit/server_manage/views/default/index.html, HTTP/1.1, 200, 0.055720
127.0.0.1, 2013-11-04 18:30:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.012169
127.0.0.1, 2013-11-04 18:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000818
127.0.0.1, 2013-11-04 19:15:08, GET, /examples/default/documentation, HTTP/1.1, 200, 0.055381
127.0.0.1, 2013-11-04 19:15:23, GET, /admin/default/index, HTTP/1.1, 303, 0.006908
